PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,service_id
Yes,Yes,Fiber optic,Yes,No,No,Unknown,Yes,Unknown,35237
Yes,Yes,No,No,No,No,No,No,No,35238
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,35239
No,No,DSL,Yes,No,No,Yes,No,No,35240
Yes,No,No,No,No,No,No,No,No,35241
Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,35242
No,No,Fiber optic,Yes,No,No,No,No,No,35243
No,No,DSL,No,Unknown,No,No,No,No,35244
Yes,Yes,DSL,No,No,Unknown,No,No,No,35245
Yes,No,DSL,No,No,No,No,No,Unknown,35246
Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,35247
Yes,Yes,No,No,No,No,No,No,No,35248
Yes,Yes,No,No,No,No,No,No,No,35249
Yes,Yes,Fiber optic,No,Yes,No,No,No,Unknown,35250
Yes,Yes,No,No,No,No,No,No,No,35251
Yes,Yes,DSL,No,No,Unknown,No,No,Yes,35252
No,No,Fiber optic,No,No,No,No,No,No,35253
Yes,Yes,No,No,No,No,No,No,No,35254
Yes,No,No,No,No,No,No,No,No,35255
Yes,Yes,Fiber optic,No,No,No,Unknown,Yes,No,35256
Yes,Yes,DSL,No,No,No,Yes,No,No,35257
Yes,No,DSL,Yes,No,No,No,No,No,35258
Yes,No,No,No,No,No,No,No,No,35259
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,35260
Yes,No,No,No,No,No,No,No,No,35261
Yes,Yes,Fiber optic,No,Unknown,No,No,Yes,Yes,35262
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,35263
No,No,Fiber optic,No,No,No,No,No,No,35264
Yes,Yes,Fiber optic,Yes,No,No,No,No,Unknown,35265
Yes,No,Fiber optic,No,No,No,No,Yes,No,35266
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,35267
Yes,Unknown,Fiber optic,Unknown,Yes,No,No,No,No,35268
No,No,No,No,No,No,No,No,No,35269
Yes,No,Fiber optic,No,No,Yes,No,No,No,35270
Yes,No,No,No,No,No,No,No,No,35271
Yes,No,Fiber optic,No,Unknown,No,No,No,Yes,35272
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,35273
Yes,No,Fiber optic,No,No,Unknown,No,Unknown,No,35274
Yes,No,No,No,No,No,No,No,No,35275
Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,35276
Yes,No,No,No,No,No,No,No,No,35277
Yes,Yes,DSL,No,No,No,No,Yes,No,35278
Yes,Yes,Fiber optic,No,No,Unknown,No,No,No,35279
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,35280
No,No,Fiber optic,Yes,No,No,No,No,Yes,35281
Yes,Yes,No,No,No,No,No,No,No,35282
Yes,No,Fiber optic,Yes,No,No,Unknown,No,Yes,35283
Yes,Unknown,DSL,No,No,No,Yes,Yes,Yes,35284
Yes,Yes,No,No,No,No,No,No,No,35285
Yes,No,Fiber optic,No,No,Yes,No,No,No,35286
No,No,No,No,No,No,No,No,No,35287
Yes,No,Fiber optic,No,No,No,No,No,No,35288
No,No,Fiber optic,No,No,Yes,No,No,No,35289
Yes,No,Fiber optic,Yes,No,No,Unknown,No,No,35290
Yes,Yes,No,No,No,No,No,No,No,35291
Yes,No,Fiber optic,No,Unknown,Yes,No,No,Yes,35292
Yes,No,No,No,No,No,No,No,No,35293
Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,35294
Yes,Yes,No,No,No,No,No,No,No,35295
Yes,No,Fiber optic,No,No,No,No,No,Yes,35296
Yes,Yes,No,No,No,No,No,No,No,35297
Yes,Yes,Fiber optic,No,Yes,No,No,Unknown,No,35298
Yes,No,DSL,No,No,No,Yes,No,Unknown,35299
Yes,Yes,DSL,No,Yes,No,No,No,No,35300
Yes,Yes,DSL,Yes,No,No,No,No,No,35301
Yes,No,No,No,No,No,No,No,No,35302
Yes,No,No,No,No,No,No,No,No,35303
Yes,No,Fiber optic,No,No,No,Unknown,No,Yes,35304
Yes,No,DSL,No,No,Yes,No,No,No,35305
Yes,Yes,No,No,No,No,No,No,No,35306
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,35307
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,35308
No,No,Fiber optic,Yes,No,Yes,No,No,No,35309
Yes,Yes,DSL,Yes,No,No,Unknown,No,No,35310
Yes,Yes,DSL,No,Unknown,No,No,No,Unknown,35311
Yes,No,DSL,Yes,No,No,No,Unknown,No,35312
Yes,Yes,DSL,No,No,No,No,Yes,No,35313
Yes,No,DSL,No,Yes,No,No,No,No,35314
Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Unknown,35315
Yes,Yes,DSL,Yes,No,No,Yes,No,No,35316
Yes,Unknown,No,No,No,No,No,No,No,35317
Yes,Unknown,Fiber optic,Yes,No,No,No,No,Unknown,35318
Yes,Unknown,No,No,No,No,No,No,No,35319
Yes,No,No,No,No,No,No,No,No,35320
Yes,No,No,No,No,No,No,No,No,35321
Yes,No,Fiber optic,No,No,No,No,No,Yes,35322
Yes,Yes,Fiber optic,No,No,Unknown,No,No,No,35323
Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,35324
Yes,No,DSL,Yes,No,No,No,No,Yes,35325
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,35326
Yes,No,DSL,No,No,Yes,Yes,No,Yes,35327
Yes,No,DSL,Yes,Yes,Unknown,No,Yes,No,35328
Yes,Yes,Fiber optic,Unknown,No,No,No,No,No,35329
Yes,Yes,Fiber optic,No,No,No,No,No,No,35330
No,No,No,No,No,No,No,No,No,35331
Yes,Yes,Fiber optic,Unknown,Yes,No,Unknown,No,No,35332
Yes,No,Fiber optic,No,No,No,No,Unknown,No,35333
Yes,Yes,No,No,No,No,No,No,No,35334
Yes,No,DSL,No,No,Unknown,No,No,No,35335
Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,35336
Yes,No,Fiber optic,No,No,No,No,No,No,35337
Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,35338
Yes,No,DSL,No,Yes,Yes,No,No,No,35339
Yes,Yes,No,No,No,No,No,No,No,35340
Yes,Yes,No,No,No,No,No,No,No,35341
Yes,Unknown,Fiber optic,Yes,No,No,No,Yes,Yes,35342
Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,35343
Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,35344
Yes,Yes,DSL,No,No,No,No,No,No,35345
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,35346
Yes,No,Fiber optic,Yes,No,Unknown,No,No,Yes,35347
No,No,No,No,No,No,No,No,No,35348
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,35349
Yes,Yes,DSL,Unknown,No,Yes,No,No,No,35350
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,35351
Yes,No,DSL,No,Unknown,No,Yes,No,No,35352
Yes,Yes,DSL,Yes,Yes,No,No,No,No,35353
Yes,No,DSL,No,No,No,No,No,No,35354
Yes,Yes,Fiber optic,No,No,No,No,No,No,35355
Yes,No,DSL,Yes,No,No,No,Unknown,No,35356
Yes,No,Fiber optic,No,Yes,Yes,No,No,No,35357
No,No,Fiber optic,No,No,Yes,No,Unknown,Yes,35358
Yes,No,Fiber optic,No,No,Yes,Yes,Unknown,No,35359
Yes,Yes,Fiber optic,No,No,No,No,No,No,35360
Yes,Yes,No,No,No,No,No,No,No,35361
Yes,Yes,Fiber optic,No,No,No,No,No,No,35362
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,35363
Yes,Yes,Fiber optic,No,Yes,No,No,Unknown,No,35364
Yes,Yes,Fiber optic,No,No,No,No,Unknown,No,35365
Yes,No,Fiber optic,No,Yes,No,No,No,No,35366
Yes,Yes,DSL,No,Yes,No,No,Yes,No,35367
Yes,No,Fiber optic,No,No,No,No,No,No,35368
Yes,Yes,Fiber optic,No,No,No,No,No,No,35369
Yes,No,Fiber optic,Yes,No,No,No,No,Yes,35370
Yes,No,Fiber optic,No,No,Yes,No,No,No,35371
Yes,Yes,No,No,No,No,No,No,No,35372
Yes,No,Fiber optic,No,No,No,No,No,Yes,35373
No,No,DSL,No,No,No,No,No,No,35374
Yes,Yes,DSL,No,No,Unknown,No,No,No,35375
Yes,Yes,No,No,No,No,No,No,No,35376
Yes,No,Fiber optic,Yes,No,Yes,No,No,No,35377
Yes,No,Fiber optic,Yes,No,Yes,Unknown,No,Yes,35378
No,No,Fiber optic,Yes,No,No,No,No,No,35379
Yes,No,No,No,No,No,No,No,No,35380
Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,35381
No,No,Fiber optic,No,No,No,No,No,No,35382
Yes,Yes,No,No,No,No,No,No,No,35383
Yes,No,No,No,No,No,No,No,No,35384
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,35385
Yes,No,Fiber optic,No,No,Yes,Unknown,No,No,35386
Yes,No,Fiber optic,No,No,No,No,No,Yes,35387
No,No,No,No,No,No,No,No,No,35388
Yes,No,DSL,No,No,Yes,No,No,No,35389
Yes,No,DSL,No,No,No,No,Yes,Yes,35390
Yes,No,DSL,No,No,Yes,No,No,Unknown,35391
Yes,No,Fiber optic,No,No,No,No,No,No,35392
No,No,Fiber optic,No,Yes,No,Unknown,No,No,35393
Yes,Yes,No,No,No,No,No,No,No,35394
No,No,Fiber optic,No,No,No,Yes,No,No,35395
Yes,Yes,Fiber optic,No,No,No,No,No,No,35396
Yes,Unknown,DSL,No,No,No,Yes,Yes,No,35397
Yes,No,DSL,No,No,No,No,No,No,35398
Yes,Yes,Fiber optic,No,No,No,No,No,No,35399
No,No,No,No,No,No,No,No,No,35400
Yes,Yes,Fiber optic,No,No,No,No,No,No,35401
Yes,Yes,Fiber optic,No,No,No,No,No,No,35402
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,35403
Yes,No,Fiber optic,No,No,No,No,No,Yes,35404
Yes,Unknown,Fiber optic,No,No,Yes,No,No,No,35405
Yes,No,Fiber optic,No,Yes,No,No,No,No,35406
Yes,Yes,Fiber optic,No,No,No,No,No,No,35407
Yes,No,DSL,No,No,Yes,No,No,Yes,35408
Yes,Yes,DSL,Unknown,No,No,No,Yes,Yes,35409
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,35410
No,No,Fiber optic,No,No,No,No,No,No,35411
Yes,No,Fiber optic,No,Yes,Yes,No,Unknown,No,35412
Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,35413
Yes,Yes,DSL,No,No,No,No,No,No,35414
Yes,No,Fiber optic,No,No,Yes,Unknown,Yes,Yes,35415
No,No,DSL,Yes,No,No,No,No,No,35416
Yes,Yes,DSL,No,No,Yes,Yes,No,No,35417
Yes,Yes,Fiber optic,No,No,No,No,No,Unknown,35418
Yes,No,DSL,No,No,Yes,No,No,No,35419
Yes,No,DSL,No,No,No,No,No,Yes,35420
Yes,No,No,No,No,No,No,No,No,35421
Yes,No,No,No,No,No,No,No,No,35422
Yes,Yes,No,No,No,No,No,No,No,35423
Yes,No,Fiber optic,No,No,No,No,No,No,35424
Yes,Yes,Fiber optic,No,No,Unknown,No,No,No,35425
No,No,DSL,Unknown,No,No,No,No,Yes,35426
Yes,No,Fiber optic,Yes,No,No,No,Unknown,Yes,35427
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,35428
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,35429
Yes,No,Fiber optic,No,No,No,Unknown,No,No,35430
Yes,Yes,DSL,No,No,No,Yes,No,No,35431
Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,35432
Yes,No,Fiber optic,No,Yes,No,No,No,No,35433
No,No,DSL,No,No,No,No,No,No,35434
Yes,Yes,No,No,No,No,No,No,No,35435
Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,35436
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,35437
Yes,No,Fiber optic,No,No,No,No,Yes,No,35438
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,35439
Yes,No,Fiber optic,No,Yes,No,No,No,No,35440
Yes,Yes,No,No,No,No,No,No,No,35441
Yes,Yes,Fiber optic,Yes,No,No,No,Unknown,No,35442
Yes,Yes,No,No,No,No,No,No,No,35443
Yes,Yes,No,No,No,No,No,No,No,35444
No,No,Fiber optic,No,No,Yes,No,No,No,35445
Yes,No,Fiber optic,Yes,Yes,No,No,No,No,35446
Yes,No,Fiber optic,No,Yes,No,No,Yes,No,35447
Yes,No,DSL,No,No,Yes,Yes,No,No,35448
Yes,No,Fiber optic,No,No,No,No,No,No,35449
Yes,No,No,No,No,No,No,No,No,35450
Yes,No,Fiber optic,No,No,No,No,Yes,No,35451
No,No,No,No,No,No,No,No,No,35452
Yes,No,Fiber optic,No,Yes,No,No,Yes,No,35453
Yes,No,DSL,No,No,No,No,No,No,35454
No,No,Fiber optic,No,Yes,No,No,No,No,35455
Yes,No,DSL,No,No,No,No,Yes,Unknown,35456
Yes,No,Fiber optic,No,No,Yes,No,No,No,35457
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,35458
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,35459
Yes,No,No,No,No,No,No,No,No,35460
Yes,No,Fiber optic,No,Yes,Yes,No,No,No,35461
Yes,No,Fiber optic,Yes,No,Yes,No,No,No,35462
Yes,Yes,DSL,No,No,Unknown,Yes,Unknown,No,35463
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,35464
No,No,Fiber optic,No,Unknown,No,Yes,No,Yes,35465
Yes,Yes,Fiber optic,No,No,No,Unknown,Yes,Yes,35466
Yes,Yes,Fiber optic,No,Unknown,No,No,Unknown,No,35467
Yes,No,Fiber optic,No,No,Yes,No,No,No,35468
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Unknown,35469
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,35470
Yes,No,Fiber optic,No,No,No,No,No,No,35471
Yes,Yes,DSL,No,No,No,No,No,Unknown,35472
No,No,DSL,No,No,No,Yes,No,No,35473
Yes,Yes,DSL,Unknown,Yes,No,No,No,No,35474
Yes,No,No,No,No,No,No,No,No,35475
Yes,Yes,Fiber optic,No,No,No,No,No,No,35476
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,35477
Yes,No,Fiber optic,No,No,No,Yes,No,Yes,35478
Yes,Yes,Fiber optic,No,No,No,Unknown,No,No,35479
Yes,Yes,DSL,No,No,No,No,No,Unknown,35480
Yes,No,Fiber optic,No,No,Yes,No,Unknown,No,35481
Yes,Yes,DSL,No,No,No,Yes,No,Unknown,35482
Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,35483
Yes,Yes,DSL,No,No,Unknown,Yes,No,No,35484
Yes,Yes,Fiber optic,Unknown,Yes,No,No,No,Yes,35485
Yes,Unknown,DSL,No,No,No,No,No,No,35486
Yes,Yes,Fiber optic,No,No,No,No,No,No,35487
No,No,Fiber optic,No,No,No,No,Unknown,Unknown,35488
Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,35489
Yes,Yes,No,No,No,No,No,No,No,35490
Yes,Yes,DSL,Yes,No,No,Yes,No,Unknown,35491
No,No,No,No,No,No,No,No,No,35492
Yes,Yes,DSL,No,No,No,Yes,No,No,35493
Yes,Yes,DSL,Yes,No,No,No,No,Yes,35494
Yes,No,No,No,No,No,No,No,No,35495
Yes,Unknown,No,No,No,No,No,No,No,35496
Yes,No,No,No,No,No,No,No,No,35497
Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,35498
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,35499
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,35500
Yes,No,Fiber optic,No,Unknown,Yes,Yes,Yes,Yes,35501
Yes,Yes,DSL,No,Yes,No,Unknown,No,No,35502
Yes,Yes,No,No,No,No,No,No,No,35503
Yes,No,Fiber optic,No,No,No,No,No,No,35504
Yes,No,No,No,No,No,No,No,No,35505
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,35506
Yes,No,Fiber optic,No,No,Unknown,Yes,No,No,35507
Yes,No,Fiber optic,No,No,No,No,Yes,No,35508
Yes,Yes,No,No,No,No,No,No,No,35509
No,No,DSL,No,No,No,No,No,No,35510
Yes,No,DSL,No,Unknown,No,Yes,No,Yes,35511
Yes,No,Fiber optic,No,Yes,No,No,No,No,35512
Yes,Yes,Fiber optic,No,No,No,No,No,No,35513
No,No,No,No,No,No,No,No,No,35514
Yes,Yes,No,No,No,No,No,No,No,35515
Yes,Yes,No,No,No,No,No,No,No,35516
Yes,No,DSL,No,Yes,No,No,No,No,35517
Yes,No,Fiber optic,No,No,Yes,No,No,No,35518
Yes,Yes,DSL,No,No,Unknown,Yes,Yes,Yes,35519
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,35520
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,35521
Yes,No,No,No,No,No,No,No,No,35522
No,No,Fiber optic,No,Unknown,No,No,Yes,No,35523
Yes,No,Fiber optic,Unknown,No,No,No,No,No,35524
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,35525
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,35526
Yes,No,Fiber optic,No,Yes,No,Yes,No,No,35527
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,35528
Yes,Yes,DSL,Unknown,No,No,Unknown,No,No,35529
Yes,No,No,No,No,No,No,No,No,35530
Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,35531
Yes,No,Fiber optic,Yes,No,No,No,Yes,No,35532
Yes,Yes,DSL,Unknown,No,Unknown,No,No,No,35533
Yes,Yes,Fiber optic,No,No,No,Unknown,No,No,35534
Yes,No,Fiber optic,No,Unknown,No,No,Unknown,No,35535
Yes,Unknown,DSL,No,No,No,No,No,No,35536
Yes,No,DSL,No,No,No,No,No,Unknown,35537
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,35538
Yes,Yes,DSL,No,No,Unknown,No,No,No,35539
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,35540
Yes,Yes,No,No,No,No,No,No,No,35541
Yes,Yes,Fiber optic,No,No,Unknown,Yes,Yes,No,35542
Yes,Yes,Fiber optic,Yes,Yes,No,No,Unknown,No,35543
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,35544
Yes,Yes,Fiber optic,No,No,No,Unknown,Yes,Yes,35545
Yes,Yes,No,No,No,No,No,No,No,35546
Yes,No,No,No,No,No,No,No,Yes,35547
Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,35548
Yes,Yes,Fiber optic,Unknown,No,Yes,No,No,No,35549
Yes,Yes,DSL,No,Yes,Unknown,No,No,No,35550
No,No,No,No,No,No,No,No,No,35551
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,35552
Yes,Yes,No,No,No,No,No,No,No,35553
Yes,No,Fiber optic,No,Yes,Yes,No,No,No,35554
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,35555
Yes,Yes,No,No,No,No,No,No,No,35556
Yes,No,Fiber optic,Unknown,No,No,Unknown,No,No,35557
Yes,Yes,No,No,No,No,No,No,No,35558
Yes,Yes,Fiber optic,No,No,No,No,No,Unknown,35559
Yes,No,Fiber optic,No,No,Unknown,No,No,No,35560
Yes,No,DSL,No,No,No,No,No,No,35561
Yes,No,Fiber optic,No,No,No,No,No,No,35562
Yes,No,No,No,No,No,No,No,No,35563
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,35564
No,No,No,No,No,No,No,No,No,35565
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,35566
Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,35567
No,No,No,No,No,No,No,No,No,35568
Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,35569
Yes,No,DSL,No,No,Yes,No,No,Yes,35570
Yes,No,DSL,Yes,No,No,No,No,Yes,35571
Yes,Yes,Fiber optic,No,No,Unknown,No,No,No,35572
Yes,Yes,No,No,No,No,No,No,No,35573
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,35574
Yes,Yes,DSL,Yes,No,No,Yes,Unknown,No,35575
Yes,Yes,No,No,No,No,No,No,No,35576
No,No,DSL,No,No,No,No,No,No,35577
Yes,Yes,No,No,No,No,No,No,No,35578
Yes,No,Fiber optic,No,No,Yes,No,No,No,35579
Yes,Yes,DSL,Yes,Unknown,No,Yes,Yes,No,35580
Yes,No,Fiber optic,Yes,Unknown,No,No,No,No,35581
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,35582
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,35583
Yes,Yes,Fiber optic,No,No,Unknown,No,No,No,35584
No,No,Fiber optic,Unknown,Unknown,No,Yes,No,Yes,35585
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,35586
Yes,Yes,No,No,No,No,No,No,No,35587
Yes,Yes,DSL,No,No,No,No,No,No,35588
Yes,Yes,DSL,No,No,No,No,No,No,35589
Yes,Yes,Fiber optic,No,No,Yes,No,Unknown,Yes,35590
Yes,Yes,No,No,No,No,No,No,No,35591
Yes,No,Fiber optic,No,No,No,Yes,No,No,35592
Yes,Yes,DSL,No,Yes,No,No,Yes,No,35593
Yes,Unknown,Fiber optic,No,Yes,No,Yes,No,No,35594
Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Unknown,35595
Yes,Yes,Fiber optic,No,No,No,No,No,No,35596
Yes,Unknown,Fiber optic,No,No,No,No,No,No,35597
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,35598
Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,35599
Yes,No,DSL,No,No,No,Unknown,No,No,35600
Yes,No,DSL,No,Yes,No,No,No,No,35601
Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,35602
Yes,Yes,No,No,No,No,No,No,No,35603
No,No,No,No,No,No,No,No,No,35604
Yes,Yes,Fiber optic,Unknown,No,No,No,Yes,Yes,35605
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,35606
Yes,Yes,No,No,No,No,No,No,No,35607
Yes,No,No,No,No,No,No,No,No,35608
Yes,No,DSL,No,No,No,No,Yes,No,35609
Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,35610
Yes,No,Fiber optic,No,No,No,Yes,No,No,35611
Yes,Yes,No,No,No,No,No,No,No,35612
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,35613
Yes,No,Fiber optic,No,No,No,No,No,Yes,35614
Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,35615
Yes,No,Fiber optic,Yes,No,No,No,No,No,35616
Yes,Yes,Fiber optic,No,No,No,No,No,No,35617
Yes,Yes,No,No,No,No,No,No,No,35618
Yes,No,No,No,No,No,No,No,No,35619
Yes,Yes,No,No,No,No,No,No,No,35620
Yes,Yes,No,No,No,No,No,No,No,35621
Yes,No,Fiber optic,No,No,Unknown,No,No,No,35622
Yes,No,No,No,No,No,No,No,No,35623
Yes,Yes,Fiber optic,No,Yes,Unknown,No,Yes,No,35624
Yes,No,DSL,No,Unknown,No,No,No,No,35625
Yes,No,DSL,No,No,No,No,No,No,35626
No,No,Fiber optic,No,No,No,No,No,Yes,35627
No,No,DSL,No,No,No,No,No,No,35628
Yes,Yes,Fiber optic,No,No,No,No,No,No,35629
Yes,Yes,Fiber optic,No,No,No,No,No,No,35630
Yes,Yes,Fiber optic,No,No,No,No,No,No,35631
Yes,No,DSL,No,No,No,No,No,Yes,35632
Yes,Yes,Fiber optic,No,No,No,No,Unknown,No,35633
Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,35634
Yes,No,Fiber optic,No,No,No,Yes,No,No,35635
Yes,Yes,DSL,Yes,Yes,No,No,No,No,35636
Yes,Yes,Fiber optic,No,No,Unknown,No,No,No,35637
Yes,Yes,No,No,No,No,No,No,No,35638
Yes,Yes,DSL,No,No,No,No,No,No,35639
Yes,Yes,Fiber optic,No,No,No,No,No,No,35640
Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,35641
Yes,Yes,Fiber optic,No,No,Unknown,No,No,No,35642
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,35643
Yes,No,Fiber optic,Yes,Unknown,No,No,No,Yes,35644
No,No,Fiber optic,Yes,Yes,No,No,No,No,35645
No,No,DSL,Yes,Yes,No,No,No,No,35646
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,35647
Yes,No,Fiber optic,Yes,No,No,No,Unknown,No,35648
Yes,Yes,Fiber optic,No,No,No,No,No,No,35649
Yes,Yes,No,No,No,No,No,No,No,35650
Yes,No,Fiber optic,No,No,Yes,No,Yes,No,35651
Yes,No,DSL,No,No,Yes,No,No,No,35652
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,35653
Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,35654
Yes,Yes,No,No,No,No,No,No,No,35655
No,No,DSL,No,No,Yes,Yes,No,No,35656
Yes,No,Fiber optic,No,No,No,No,Unknown,No,35657
Yes,No,DSL,No,No,No,No,No,No,35658
Yes,No,No,No,No,No,No,No,No,35659
Yes,No,Fiber optic,Yes,No,No,No,No,Yes,35660
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,35661
Yes,Yes,No,No,No,No,No,No,No,35662
Yes,No,Fiber optic,No,No,No,No,No,Yes,35663
Yes,No,Fiber optic,No,No,No,Unknown,Yes,No,35664
Yes,Yes,No,No,No,No,No,No,No,35665
Yes,Yes,Fiber optic,Unknown,Yes,No,Unknown,No,No,35666
Yes,No,DSL,No,No,No,No,Unknown,Yes,35667
Yes,Yes,DSL,Unknown,No,Yes,Yes,Yes,Yes,35668
Yes,Yes,DSL,Yes,No,No,Yes,No,No,35669
Yes,Unknown,Fiber optic,No,No,Unknown,No,No,No,35670
Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,35671
Yes,Yes,No,No,No,No,No,No,No,35672
No,No,No,No,No,No,No,No,No,35673
Yes,No,Fiber optic,No,No,Yes,No,No,Unknown,35674
Yes,No,No,No,No,No,No,No,No,35675
Yes,No,Fiber optic,No,No,No,No,No,No,35676
Yes,No,No,No,No,No,No,No,No,35677
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,35678
Yes,Yes,Fiber optic,Unknown,No,No,Yes,No,No,35679
Yes,No,DSL,No,No,No,No,Yes,No,35680
Yes,No,Fiber optic,No,No,No,No,No,No,35681
Yes,Yes,Fiber optic,No,No,No,No,No,No,35682
Yes,Yes,Fiber optic,No,No,No,No,No,No,35683
Yes,Yes,Fiber optic,No,No,No,No,No,No,35684
Yes,Yes,DSL,No,No,No,No,Yes,No,35685
Yes,No,DSL,No,No,Yes,No,Unknown,No,35686
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,35687
Yes,No,DSL,Yes,No,No,No,Yes,No,35688
Yes,No,No,No,No,No,No,No,No,35689
Yes,No,Fiber optic,No,No,Unknown,No,No,No,35690
Yes,No,DSL,No,Yes,No,Unknown,No,No,35691
Yes,No,No,No,No,No,No,No,Yes,35692
Yes,No,Fiber optic,No,No,No,No,No,No,35693
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,35694
Yes,Yes,No,No,No,No,No,No,No,35695
Yes,Yes,No,No,No,No,No,No,No,35696
Yes,No,Fiber optic,No,No,No,No,No,No,35697
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,35698
Yes,Unknown,Fiber optic,No,No,Yes,No,No,No,35699
Yes,Yes,No,No,No,No,No,No,No,35700
Yes,Yes,DSL,No,No,Yes,No,No,No,35701
Yes,No,Fiber optic,No,No,No,Yes,No,No,35702
Yes,Yes,DSL,No,No,No,No,No,Yes,35703
Yes,Yes,No,No,No,No,No,No,No,35704
