Contract,PaperlessBilling,PaymentMethod,contract_id
Monthly,Yes,Electronic check,32077
Monthly,No,Electronic check,32078
Monthly,No,Electronic check,32079
Monthly,No,Electronic check,32080
One Year,Yes,Mailed check,32081
Two year,Yes,Electronic check,32082
One Year,No,Electronic check,32083
Two year,Yes,Electronic check,32084
Monthly,Yes,Unknown,32085
Monthly,Yes,Credit card (automatic),32086
Monthly,No,Credit card (automatic),32087
Monthly,No,Mailed check,32088
Monthly,No,Bank transfer (automatic),32089
One Year,Yes,Credit card (automatic),32090
Two year,No,Electronic check,32091
Monthly,Yes,Electronic check,32092
One Year,Yes,Credit card (automatic),32093
One Year,Yes,Electronic check,32094
Monthly,Yes,Mailed check,32095
Monthly,Yes,Credit card (automatic),32096
Two year,Yes,Electronic check,32097
Two year,No,Electronic check,32098
Two year,No,Electronic check,32099
One Year,No,Bank transfer (automatic),32100
Monthly,Yes,Bank transfer (automatic),32101
Monthly,Yes,Mailed check,32102
Monthly,Yes,Bank transfer (automatic),32103
Monthly,Yes,Mailed check,32104
Two year,No,Electronic check,32105
Two year,No,Mailed check,32106
Two year,No,Credit card (automatic),32107
Monthly,Yes,Credit card (automatic),32108
Monthly,Yes,Mailed check,32109
Monthly,No,Electronic check,32110
One Year,No,Mailed check,32111
Two year,Yes,Bank transfer (automatic),32112
Two year,Yes,Bank transfer (automatic),32113
Monthly,No,Mailed check,32114
Monthly,No,Bank transfer (automatic),32115
Monthly,Yes,Electronic check,32116
Two year,Yes,Mailed check,32117
Monthly,No,Electronic check,32118
One Year,Yes,Electronic check,32119
Monthly,No,Electronic check,32120
Monthly,No,Mailed check,32121
Two year,No,Electronic check,32122
Monthly,Yes,Credit card (automatic),32123
Monthly,Yes,Bank transfer (automatic),32124
Monthly,Yes,Credit card (automatic),32125
One Year,Yes,Mailed check,32126
Monthly,No,Bank transfer (automatic),32127
One Year,Yes,Mailed check,32128
Monthly,No,Bank transfer (automatic),32129
Two year,No,Bank transfer (automatic),32130
Monthly,Yes,Credit card (automatic),32131
Monthly,Yes,Electronic check,32132
One Year,Yes,Electronic check,32133
One Year,Yes,Bank transfer (automatic),32134
One Year,No,Bank transfer (automatic),32135
Monthly,No,Credit card (automatic),32136
Monthly,No,Unknown,32137
Monthly,Yes,Electronic check,32138
Monthly,Yes,Electronic check,32139
Monthly,No,Bank transfer (automatic),32140
One Year,Yes,Electronic check,32141
Two year,No,Mailed check,32142
Monthly,Yes,Credit card (automatic),32143
Two year,No,Mailed check,32144
One Year,Yes,Electronic check,32145
One Year,Yes,Electronic check,32146
Monthly,Yes,Credit card (automatic),32147
Monthly,Yes,Electronic check,32148
Monthly,Yes,Bank transfer (automatic),32149
Monthly,No,Electronic check,32150
Monthly,Yes,Electronic check,32151
Monthly,Yes,Electronic check,32152
Two year,No,Electronic check,32153
Monthly,Yes,Electronic check,32154
Monthly,Yes,Electronic check,32155
Monthly,No,Electronic check,32156
Two year,Yes,Credit card (automatic),32157
Monthly,Yes,Electronic check,32158
Two year,No,Electronic check,32159
One Year,No,Bank transfer (automatic),32160
Monthly,Yes,Bank transfer (automatic),32161
One Year,No,Bank transfer (automatic),32162
Monthly,Yes,Credit card (automatic),32163
Monthly,No,Electronic check,32164
Monthly,Yes,Credit card (automatic),32165
Two year,No,Electronic check,32166
One Year,Yes,Mailed check,32167
One Year,No,Credit card (automatic),32168
One Year,No,Electronic check,32169
Monthly,Yes,Electronic check,32170
Monthly,Yes,Mailed check,32171
Monthly,No,Electronic check,32172
One Year,Yes,Electronic check,32173
Monthly,Yes,Electronic check,32174
Two year,No,Electronic check,32175
Two year,Yes,Credit card (automatic),32176
Monthly,Yes,Mailed check,32177
Monthly,Yes,Credit card (automatic),32178
Two year,No,Mailed check,32179
Monthly,Yes,Electronic check,32180
Two year,Yes,Bank transfer (automatic),32181
Monthly,Yes,Bank transfer (automatic),32182
Monthly,Yes,Credit card (automatic),32183
Two year,Yes,Mailed check,32184
Monthly,Yes,Credit card (automatic),32185
One Year,No,Electronic check,32186
One Year,No,Credit card (automatic),32187
Monthly,Yes,Mailed check,32188
Monthly,Yes,Bank transfer (automatic),32189
One Year,Yes,Electronic check,32190
One Year,Yes,Electronic check,32191
Monthly,Yes,Bank transfer (automatic),32192
Monthly,Yes,Electronic check,32193
Monthly,Yes,Electronic check,32194
Monthly,Yes,Bank transfer (automatic),32195
One Year,No,Bank transfer (automatic),32196
One Year,No,Electronic check,32197
One Year,Yes,Mailed check,32198
Two year,Yes,Mailed check,32199
One Year,Yes,Electronic check,32200
Monthly,Yes,Electronic check,32201
Monthly,Yes,Electronic check,32202
Two year,Yes,Electronic check,32203
One Year,No,Electronic check,32204
Two year,Yes,Electronic check,32205
One Year,Yes,Electronic check,32206
One Year,No,Bank transfer (automatic),32207
One Year,No,Electronic check,32208
Monthly,Yes,Credit card (automatic),32209
Monthly,No,Credit card (automatic),32210
One Year,Yes,Electronic check,32211
Two year,Yes,Bank transfer (automatic),32212
Monthly,Yes,Electronic check,32213
Two year,No,Electronic check,32214
Monthly,Yes,Bank transfer (automatic),32215
Monthly,No,Electronic check,32216
Monthly,Yes,Electronic check,32217
Monthly,No,Mailed check,32218
One Year,Yes,Electronic check,32219
Monthly,No,Mailed check,32220
One Year,No,Credit card (automatic),32221
Monthly,Yes,Bank transfer (automatic),32222
Monthly,Yes,Electronic check,32223
One Year,Yes,Electronic check,32224
Monthly,No,Electronic check,32225
Monthly,No,Bank transfer (automatic),32226
One Year,Yes,Credit card (automatic),32227
Monthly,Yes,Mailed check,32228
One Year,Yes,Electronic check,32229
Monthly,No,Mailed check,32230
Monthly,No,Credit card (automatic),32231
One Year,No,Bank transfer (automatic),32232
One Year,No,Electronic check,32233
Monthly,Yes,Mailed check,32234
Two year,No,Credit card (automatic),32235
Monthly,Yes,Bank transfer (automatic),32236
Monthly,Yes,Mailed check,32237
Monthly,Yes,Credit card (automatic),32238
Monthly,Yes,Bank transfer (automatic),32239
Monthly,No,Bank transfer (automatic),32240
Monthly,No,Electronic check,32241
Monthly,Yes,Mailed check,32242
Monthly,Yes,Electronic check,32243
One Year,Yes,Credit card (automatic),32244
Monthly,Yes,Mailed check,32245
Monthly,No,Electronic check,32246
Monthly,No,Unknown,32247
Monthly,No,Mailed check,32248
Monthly,Yes,Electronic check,32249
Two year,No,Electronic check,32250
Monthly,Yes,Electronic check,32251
Monthly,Yes,Electronic check,32252
Monthly,Yes,Bank transfer (automatic),32253
Monthly,Yes,Mailed check,32254
One Year,Yes,Electronic check,32255
Monthly,No,Electronic check,32256
Two year,Yes,Bank transfer (automatic),32257
One Year,No,Bank transfer (automatic),32258
Two year,No,Electronic check,32259
Two year,Yes,Mailed check,32260
Monthly,Yes,Electronic check,32261
Monthly,Yes,Bank transfer (automatic),32262
Monthly,Yes,Bank transfer (automatic),32263
One Year,No,Mailed check,32264
Two year,Yes,Mailed check,32265
Monthly,No,Mailed check,32266
Monthly,Yes,Bank transfer (automatic),32267
Monthly,No,Electronic check,32268
One Year,Yes,Electronic check,32269
Monthly,No,Mailed check,32270
Two year,No,Mailed check,32271
Monthly,No,Electronic check,32272
One Year,Yes,Mailed check,32273
Monthly,No,Mailed check,32274
Monthly,No,Electronic check,32275
One Year,No,Electronic check,32276
Monthly,Yes,Mailed check,32277
Monthly,Yes,Electronic check,32278
Monthly,Yes,Credit card (automatic),32279
One Year,Yes,Electronic check,32280
Monthly,Yes,Electronic check,32281
Two year,Yes,Credit card (automatic),32282
Monthly,Yes,Electronic check,32283
Monthly,No,Credit card (automatic),32284
Two year,No,Credit card (automatic),32285
One Year,Yes,Credit card (automatic),32286
Monthly,No,Mailed check,32287
One Year,Yes,Credit card (automatic),32288
Two year,Yes,Electronic check,32289
Monthly,No,Electronic check,32290
Monthly,No,Mailed check,32291
Two year,No,Electronic check,32292
Monthly,Yes,Mailed check,32293
Monthly,Yes,Unknown,32294
Two year,No,Electronic check,32295
Monthly,No,Bank transfer (automatic),32296
Two year,Yes,Electronic check,32297
One Year,Yes,Mailed check,32298
Two year,Yes,Electronic check,32299
Monthly,No,Bank transfer (automatic),32300
Monthly,Yes,Credit card (automatic),32301
Monthly,Yes,Electronic check,32302
Monthly,No,Mailed check,32303
Monthly,Yes,Electronic check,32304
Two year,Yes,Credit card (automatic),32305
One Year,No,Credit card (automatic),32306
One Year,No,Electronic check,32307
Monthly,No,Electronic check,32308
One Year,No,Credit card (automatic),32309
Monthly,Yes,Mailed check,32310
Monthly,Yes,Mailed check,32311
Monthly,No,Mailed check,32312
Two year,Yes,Bank transfer (automatic),32313
Two year,No,Mailed check,32314
Two year,No,Electronic check,32315
One Year,No,Electronic check,32316
Monthly,No,Credit card (automatic),32317
Monthly,Yes,Electronic check,32318
Monthly,Yes,Electronic check,32319
One Year,Yes,Unknown,32320
Two year,No,Electronic check,32321
One Year,No,Electronic check,32322
Monthly,No,Bank transfer (automatic),32323
Monthly,Yes,Credit card (automatic),32324
Monthly,Yes,Credit card (automatic),32325
Monthly,Yes,Electronic check,32326
Monthly,No,Bank transfer (automatic),32327
Monthly,Yes,Credit card (automatic),32328
Monthly,Yes,Bank transfer (automatic),32329
Monthly,No,Bank transfer (automatic),32330
Monthly,Yes,Electronic check,32331
Two year,No,Electronic check,32332
Monthly,No,Credit card (automatic),32333
Monthly,Yes,Mailed check,32334
Two year,Yes,Mailed check,32335
One Year,No,Electronic check,32336
One Year,Yes,Bank transfer (automatic),32337
Two year,No,Bank transfer (automatic),32338
Two year,Yes,Mailed check,32339
One Year,Yes,Mailed check,32340
Monthly,Yes,Electronic check,32341
One Year,Yes,Electronic check,32342
Monthly,Yes,Electronic check,32343
Monthly,Yes,Credit card (automatic),32344
Monthly,Yes,Electronic check,32345
Monthly,Yes,Bank transfer (automatic),32346
Monthly,Yes,Electronic check,32347
Monthly,No,Credit card (automatic),32348
Monthly,No,Electronic check,32349
One Year,No,Bank transfer (automatic),32350
Monthly,Yes,Electronic check,32351
Monthly,No,Electronic check,32352
Two year,Yes,Electronic check,32353
Monthly,No,Mailed check,32354
Monthly,No,Credit card (automatic),32355
Monthly,No,Mailed check,32356
Monthly,Yes,Mailed check,32357
Two year,Yes,Credit card (automatic),32358
Two year,No,Mailed check,32359
Monthly,No,Bank transfer (automatic),32360
Monthly,No,Electronic check,32361
Monthly,No,Mailed check,32362
Monthly,No,Electronic check,32363
Monthly,No,Bank transfer (automatic),32364
Monthly,Yes,Electronic check,32365
Monthly,No,Credit card (automatic),32366
Two year,No,Bank transfer (automatic),32367
Monthly,Yes,Electronic check,32368
Monthly,Yes,Electronic check,32369
Monthly,Yes,Unknown,32370
Monthly,Yes,Electronic check,32371
One Year,Yes,Mailed check,32372
Monthly,Yes,Mailed check,32373
One Year,No,Bank transfer (automatic),32374
Monthly,No,Credit card (automatic),32375
Two year,Yes,Electronic check,32376
One Year,Yes,Electronic check,32377
Two year,Yes,Mailed check,32378
Monthly,Yes,Credit card (automatic),32379
Monthly,No,Mailed check,32380
One Year,No,Credit card (automatic),32381
Monthly,No,Mailed check,32382
Two year,Yes,Electronic check,32383
Two year,Yes,Electronic check,32384
Monthly,Yes,Bank transfer (automatic),32385
Two year,Yes,Electronic check,32386
Monthly,No,Unknown,32387
Monthly,No,Electronic check,32388
Monthly,No,Electronic check,32389
Monthly,No,Mailed check,32390
Two year,No,Electronic check,32391
Monthly,Yes,Electronic check,32392
Monthly,No,Credit card (automatic),32393
Monthly,Yes,Mailed check,32394
Two year,No,Bank transfer (automatic),32395
Two year,No,Electronic check,32396
Two year,No,Mailed check,32397
One Year,Yes,Mailed check,32398
Monthly,Yes,Electronic check,32399
Monthly,Yes,Electronic check,32400
Monthly,Yes,Credit card (automatic),32401
Two year,Yes,Electronic check,32402
Two year,Yes,Unknown,32403
Monthly,Yes,Electronic check,32404
Monthly,Yes,Unknown,32405
One Year,Yes,Unknown,32406
Monthly,Yes,Unknown,32407
Monthly,No,Mailed check,32408
Monthly,Yes,Electronic check,32409
Two year,No,Electronic check,32410
One Year,No,Credit card (automatic),32411
Monthly,No,Credit card (automatic),32412
Monthly,Yes,Mailed check,32413
Monthly,No,Credit card (automatic),32414
Monthly,No,Electronic check,32415
Two year,No,Electronic check,32416
Monthly,No,Mailed check,32417
Two year,No,Mailed check,32418
Monthly,No,Bank transfer (automatic),32419
Monthly,No,Electronic check,32420
One Year,Yes,Unknown,32421
Monthly,Yes,Bank transfer (automatic),32422
One Year,Yes,Credit card (automatic),32423
Monthly,Yes,Electronic check,32424
Monthly,No,Bank transfer (automatic),32425
Monthly,Yes,Credit card (automatic),32426
Monthly,No,Mailed check,32427
Monthly,No,BANK TRANSFER,32428
Two year,Yes,Credit card (automatic),32429
Monthly,No,Bank transfer (automatic),32430
Monthly,Yes,Credit card (automatic),32431
Two year,Yes,Electronic check,32432
Monthly,No,Mailed check,32433
Two year,Yes,Bank transfer (automatic),32434
Monthly,Yes,Unknown,32435
Monthly,Yes,Electronic check,32436
Monthly,No,Mailed check,32437
Monthly,Yes,Credit card (automatic),32438
Two year,Yes,Mailed check,32439
Monthly,Yes,Electronic check,32440
Two year,No,Electronic check,32441
One Year,No,Mailed check,32442
One Year,Yes,Credit card (automatic),32443
Two year,Yes,Mailed check,32444
Monthly,No,Electronic check,32445
Monthly,Yes,Bank transfer (automatic),32446
One Year,Yes,Bank transfer (automatic),32447
Monthly,No,Mailed check,32448
Monthly,Yes,Mailed check,32449
Monthly,Yes,Mailed check,32450
Two year,Yes,Bank transfer (automatic),32451
Monthly,Yes,Credit card (automatic),32452
Monthly,Yes,Credit card (automatic),32453
Monthly,No,Electronic check,32454
Monthly,No,Electronic check,32455
Monthly,Yes,Bank transfer (automatic),32456
One Year,Yes,Electronic check,32457
Monthly,Yes,Electronic check,32458
Monthly,Yes,Bank transfer (automatic),32459
Two year,No,Credit card (automatic),32460
Monthly,Yes,Electronic check,32461
Monthly,Yes,Credit card (automatic),32462
One Year,Yes,Electronic check,32463
Monthly,No,Bank transfer (automatic),32464
Monthly,No,Bank transfer (automatic),32465
Monthly,Yes,Mailed check,32466
One Year,Yes,Bank transfer (automatic),32467
Monthly,Yes,Electronic check,32468
Monthly,Yes,Credit card (automatic),32469
Monthly,Yes,Credit card (automatic),32470
Two year,Yes,Electronic check,32471
Monthly,No,Electronic check,32472
Monthly,No,Credit card (automatic),32473
Monthly,Yes,Bank transfer (automatic),32474
Monthly,Yes,Electronic check,32475
One Year,Yes,Credit card (automatic),32476
Two year,No,Electronic check,32477
One Year,Yes,Bank transfer (automatic),32478
Monthly,Yes,Mailed check,32479
Two year,No,Mailed check,32480
Two year,Yes,Electronic check,32481
One Year,Yes,Electronic check,32482
Two year,No,Bank transfer (automatic),32483
One Year,Yes,Mailed check,32484
Two year,Yes,Electronic check,32485
One Year,Yes,Unknown,32486
One Year,No,Electronic check,32487
Monthly,No,Mailed check,32488
Monthly,Yes,Electronic check,32489
Monthly,Yes,Electronic check,32490
Monthly,Yes,Credit card (automatic),32491
Monthly,Yes,Bank transfer (automatic),32492
Monthly,Yes,Electronic check,32493
One Year,No,Electronic check,32494
Monthly,Yes,Bank transfer (automatic),32495
Monthly,Yes,Unknown,32496
Monthly,Yes,Bank transfer (automatic),32497
Two year,No,Credit card (automatic),32498
One Year,Yes,Credit card (automatic),32499
Monthly,Yes,Mailed check,32500
Monthly,Yes,Bank transfer (automatic),32501
Monthly,Yes,Electronic check,32502
Monthly,Yes,Electronic check,32503
Monthly,No,Mailed check,32504
One Year,No,Bank transfer (automatic),32505
Two year,No,Mailed check,32506
Monthly,Yes,Bank transfer (automatic),32507
Monthly,No,Mailed check,32508
Monthly,Yes,Bank transfer (automatic),32509
Monthly,Yes,Electronic check,32510
Monthly,Yes,Credit card (automatic),32511
Two year,Yes,Unknown,32512
Two year,No,Mailed check,32513
Two year,Yes,Credit card (automatic),32514
Monthly,Yes,Electronic check,32515
One Year,Yes,Unknown,32516
One Year,Yes,Electronic check,32517
Monthly,No,Bank transfer (automatic),32518
Monthly,Yes,Mailed check,32519
Monthly,Yes,Electronic check,32520
Monthly,No,Electronic check,32521
Monthly,No,Mailed check,32522
Monthly,Yes,Mailed check,32523
One Year,No,Credit card (automatic),32524
Monthly,Yes,Mailed check,32525
Two year,Yes,Electronic check,32526
One Year,Yes,Electronic check,32527
Monthly,Yes,Electronic check,32528
Monthly,Yes,Mailed check,32529
Monthly,No,Electronic check,32530
Monthly,Yes,Mailed check,32531
Monthly,Yes,Credit card (automatic),32532
One Year,No,Mailed check,32533
One Year,Yes,Mailed check,32534
Monthly,Yes,Mailed check,32535
One Year,No,Electronic check,32536
One Year,No,Electronic check,32537
Two year,Yes,Bank transfer (automatic),32538
Monthly,Yes,Mailed check,32539
Monthly,No,Bank transfer (automatic),32540
Monthly,No,Electronic check,32541
Monthly,Yes,Mailed check,32542
Monthly,Yes,Electronic check,32543
Monthly,Yes,Mailed check,32544
One Year,Yes,Bank transfer (automatic),32545
Monthly,Yes,Mailed check,32546
Monthly,Yes,Credit card (automatic),32547
Monthly,Yes,Mailed check,32548
Monthly,Yes,Mailed check,32549
Two year,Yes,Electronic check,32550
One Year,Yes,Bank transfer (automatic),32551
Monthly,Yes,Electronic check,32552
Monthly,No,Bank transfer (automatic),32553
Monthly,Yes,Electronic check,32554
Monthly,Yes,Electronic check,32555
Monthly,No,Electronic check,32556
One Year,Yes,Mailed check,32557
Monthly,No,Electronic check,32558
Monthly,No,Electronic check,32559
One Year,Yes,Credit card (automatic),32560
Monthly,No,Mailed check,32561
One Year,Yes,Credit card (automatic),32562
Monthly,Yes,Mailed check,32563
Monthly,Yes,Bank transfer (automatic),32564
Monthly,No,Bank transfer (automatic),32565
Monthly,No,Electronic check,32566
One Year,Yes,Electronic check,32567
One Year,Yes,Electronic check,32568
Monthly,No,Electronic check,32569
Monthly,No,Electronic check,32570
Monthly,No,Credit card (automatic),32571
One Year,No,Mailed check,32572
Monthly,Yes,Electronic check,32573
Monthly,Yes,Mailed check,32574
One Year,No,Credit card (automatic),32575
Monthly,Yes,Unknown,32576
Two year,Yes,Mailed check,32577
One Year,No,Bank transfer (automatic),32578
One Year,Yes,Electronic check,32579
Monthly,No,Bank transfer (automatic),32580
Monthly,Yes,Electronic check,32581
Two year,Yes,Credit card (automatic),32582
One Year,No,Mailed check,32583
One Year,Yes,Electronic check,32584
Monthly,No,Credit card (automatic),32585
Two year,Yes,Credit card (automatic),32586
Monthly,No,Mailed check,32587
Two year,Yes,Bank transfer (automatic),32588
Monthly,Yes,Electronic check,32589
Two year,Yes,Electronic check,32590
Two year,Yes,Electronic check,32591
Monthly,Yes,Mailed check,32592
Monthly,No,Mailed check,32593
Two year,Yes,Bank transfer (automatic),32594
Two year,No,Bank transfer (automatic),32595
Monthly,Yes,Electronic check,32596
Two year,Yes,Electronic check,32597
One Year,Yes,Credit card (automatic),32598
Monthly,Yes,Bank transfer (automatic),32599
Monthly,No,Mailed check,32600
Monthly,Yes,Mailed check,32601
Monthly,Yes,Electronic check,32602
One Year,Yes,Mailed check,32603
Monthly,Yes,Credit card (automatic),32604
Monthly,Yes,Bank transfer (automatic),32605
Monthly,No,Electronic check,32606
Monthly,No,Credit card (automatic),32607
Monthly,Yes,Mailed check,32608
One Year,Yes,Electronic check,32609
Two year,Yes,Bank transfer (automatic),32610
Two year,Yes,Bank transfer (automatic),32611
Monthly,Yes,Electronic check,32612
Monthly,Yes,Credit card (automatic),32613
Two year,No,Credit card (automatic),32614
Two year,No,Electronic check,32615
One Year,No,Mailed check,32616
Monthly,No,Electronic check,32617
Monthly,No,Credit card (automatic),32618
Monthly,Yes,Electronic check,32619
Two year,No,Credit card (automatic),32620
Monthly,Yes,Mailed check,32621
Two year,Yes,Mailed check,32622
Monthly,No,Mailed check,32623
Monthly,No,Electronic check,32624
Two year,Yes,Electronic check,32625
Monthly,No,Electronic check,32626
Monthly,Yes,Electronic check,32627
Two year,No,Electronic check,32628
Monthly,Yes,Credit card (automatic),32629
Monthly,No,Unknown,32630
Two year,Yes,Electronic check,32631
Monthly,No,Electronic check,32632
Monthly,Yes,Bank transfer (automatic),32633
Monthly,No,Bank transfer (automatic),32634
Two year,Yes,Unknown,32635
Monthly,Yes,Electronic check,32636
One Year,Yes,Credit card (automatic),32637
One Year,Yes,Bank transfer (automatic),32638
Monthly,Yes,Bank transfer (automatic),32639
Two year,No,Electronic check,32640
Monthly,No,Credit card (automatic),32641
Monthly,No,Mailed check,32642
Two year,Yes,Bank transfer (automatic),32643
Monthly,No,Mailed check,32644
Monthly,No,Electronic check,32645
One Year,Yes,Electronic check,32646
Monthly,Yes,Bank transfer (automatic),32647
One Year,Yes,Mailed check,32648
Two year,Yes,Electronic check,32649
Monthly,Yes,Bank transfer (automatic),32650
Monthly,No,Credit card (automatic),32651
Two year,Yes,Bank transfer (automatic),32652
Monthly,Yes,Electronic check,32653
Monthly,Yes,Credit card (automatic),32654
One Year,Yes,Credit card (automatic),32655
Monthly,No,Electronic check,32656
Monthly,Yes,Unknown,32657
Monthly,No,Mailed check,32658
Monthly,No,Unknown,32659
Monthly,Yes,Electronic check,32660
One Year,Yes,Electronic check,32661
Monthly,Yes,Bank transfer (automatic),32662
One Year,No,Bank transfer (automatic),32663
One Year,No,Mailed check,32664
Two year,Yes,Electronic check,32665
Monthly,No,Electronic check,32666
Two year,Yes,Mailed check,32667
One Year,Yes,Bank transfer (automatic),32668
Monthly,No,Electronic check,32669
Monthly,No,Mailed check,32670
Two year,No,Electronic check,32671
Monthly,Yes,Mailed check,32672
Two year,No,Mailed check,32673
One Year,Yes,Electronic check,32674
One Year,Yes,Bank transfer (automatic),32675
Two year,No,Unknown,32676
Monthly,Yes,Electronic check,32677
One Year,No,Electronic check,32678
Monthly,No,Electronic check,32679
Two year,No,Electronic check,32680
Monthly,No,Bank transfer (automatic),32681
Monthly,Yes,Credit card (automatic),32682
Monthly,Yes,Electronic check,32683
Monthly,Yes,Electronic check,32684
Two year,Yes,Bank transfer (automatic),32685
Monthly,No,Unknown,32686
Two year,No,Electronic check,32687
Monthly,Yes,Bank transfer (automatic),32688
Monthly,Yes,Electronic check,32689
One Year,Yes,Electronic check,32690
Two year,Yes,Bank transfer (automatic),32691
Monthly,Yes,Electronic check,32692
Monthly,No,Mailed check,32693
One Year,No,Bank transfer (automatic),32694
Monthly,No,Electronic check,32695
Monthly,Yes,Credit card (automatic),32696
Monthly,No,Mailed check,32697
One Year,No,Electronic check,32698
Two year,Yes,Credit card (automatic),32699
Monthly,No,Electronic check,32700
Monthly,No,Bank transfer (automatic),32701
One Year,Yes,Credit card (automatic),32702
Monthly,Yes,Bank transfer (automatic),32703
Monthly,No,Electronic check,32704
Two year,Yes,Electronic check,32705
Monthly,Yes,Bank transfer (automatic),32706
Monthly,Yes,Bank transfer (automatic),32707
Monthly,No,Credit card (automatic),32708
Monthly,No,Mailed check,32709
Two year,Yes,Bank transfer (automatic),32710
Monthly,Yes,Credit card (automatic),32711
One Year,Yes,Mailed check,32712
Monthly,Yes,Mailed check,32713
One Year,No,Credit card (automatic),32714
Monthly,Yes,Unknown,32715
Two year,Yes,Electronic check,32716
Monthly,Yes,Electronic check,32717
One Year,Yes,Electronic check,32718
Two year,No,Credit card (automatic),32719
Two year,No,Electronic check,32720
Two year,No,Mailed check,32721
Monthly,No,Credit card (automatic),32722
Two year,Yes,Mailed check,32723
One Year,No,Credit card (automatic),32724
Two year,Yes,Electronic check,32725
Monthly,No,Credit card (automatic),32726
Monthly,Yes,Credit card (automatic),32727
Monthly,Yes,Electronic check,32728
Monthly,Yes,Mailed check,32729
Monthly,Yes,Mailed check,32730
One Year,Yes,Electronic check,32731
Monthly,Yes,Unknown,32732
One Year,Yes,Electronic check,32733
Monthly,No,Electronic check,32734
One Year,Yes,Credit card (automatic),32735
One Year,Yes,Electronic check,32736
Monthly,No,Electronic check,32737
One Year,Yes,Electronic check,32738
One Year,No,Mailed check,32739
Two year,No,Mailed check,32740
Monthly,Yes,Bank transfer (automatic),32741
One Year,No,Electronic check,32742
Two year,No,Bank transfer (automatic),32743
One Year,Yes,Mailed check,32744
One Year,Yes,Credit card (automatic),32745
Monthly,Yes,Electronic check,32746
Monthly,No,Bank transfer (automatic),32747
Monthly,Yes,Bank transfer (automatic),32748
Monthly,No,Electronic check,32749
Two year,Yes,Electronic check,32750
Monthly,No,Credit card (automatic),32751
Monthly,No,Credit card (automatic),32752
One Year,Yes,Bank transfer (automatic),32753
Monthly,Yes,Mailed check,32754
Monthly,Yes,Bank transfer (automatic),32755
Two year,Yes,Mailed check,32756
Monthly,Yes,Mailed check,32757
Two year,No,Bank transfer (automatic),32758
Monthly,Yes,Electronic check,32759
Monthly,No,Electronic check,32760
One Year,Yes,Bank transfer (automatic),32761
One Year,No,Mailed check,32762
Monthly,No,Electronic check,32763
Monthly,No,Bank transfer (automatic),32764
Monthly,No,Credit card (automatic),32765
Monthly,Yes,Electronic check,32766
Two year,Yes,Electronic check,32767
Monthly,Yes,Credit card (automatic),32768
Monthly,Yes,Electronic check,32769
Two year,Yes,Bank transfer (automatic),32770
Monthly,No,Credit card (automatic),32771
Monthly,No,Bank transfer (automatic),32772
Monthly,Yes,Credit card (automatic),32773
Two year,Yes,Mailed check,32774
One Year,Yes,Mailed check,32775
Two year,No,Bank transfer (automatic),32776
Monthly,No,Electronic check,32777
Monthly,Yes,Mailed check,32778
Monthly,Yes,Electronic check,32779
One Year,Yes,Electronic check,32780
Monthly,Yes,Electronic check,32781
One Year,Yes,Electronic check,32782
Monthly,No,Credit card (automatic),32783
Two year,Yes,Electronic check,32784
Monthly,Yes,Electronic check,32785
Monthly,Yes,Electronic check,32786
Two year,Yes,Electronic check,32787
Monthly,Yes,Electronic check,32788
One Year,No,Credit card (automatic),32789
Monthly,Yes,Electronic check,32790
Monthly,Yes,Credit card (automatic),32791
Monthly,Yes,Electronic check,32792
Monthly,Yes,Electronic check,32793
Monthly,Yes,Mailed check,32794
Monthly,No,Electronic check,32795
One Year,Yes,Electronic check,32796
One Year,No,Mailed check,32797
Monthly,Yes,Electronic check,32798
Monthly,Yes,Electronic check,32799
One Year,Yes,Electronic check,32800
Monthly,Yes,Electronic check,32801
Two year,No,Mailed check,32802
Monthly,Yes,Electronic check,32803
One Year,Yes,Credit card (automatic),32804
Monthly,Yes,Electronic check,32805
One Year,No,Mailed check,32806
Monthly,No,Electronic check,32807
Monthly,No,Bank transfer (automatic),32808
Monthly,Yes,Electronic check,32809
Monthly,Yes,Electronic check,32810
One Year,Yes,Bank transfer (automatic),32811
Two year,Yes,Credit card (automatic),32812
Monthly,Yes,Credit card (automatic),32813
Monthly,Yes,Credit card (automatic),32814
One Year,No,Electronic check,32815
Monthly,Yes,Electronic check,32816
Monthly,No,Mailed check,32817
One Year,Yes,Mailed check,32818
One Year,Yes,Electronic check,32819
Monthly,Yes,Electronic check,32820
Monthly,No,Electronic check,32821
Monthly,Yes,Mailed check,32822
Two year,Yes,Electronic check,32823
Monthly,Yes,Credit card (automatic),32824
One Year,Yes,Electronic check,32825
Monthly,Yes,Credit card (automatic),32826
One Year,Yes,Unknown,32827
Monthly,No,Electronic check,32828
Two year,No,Mailed check,32829
One Year,Yes,Electronic check,32830
Monthly,Yes,Credit card (automatic),32831
Monthly,Yes,Electronic check,32832
Monthly,No,Bank transfer (automatic),32833
Monthly,Yes,Electronic check,32834
Monthly,Yes,Credit card (automatic),32835
Monthly,Yes,Bank transfer (automatic),32836
Two year,Yes,Bank transfer (automatic),32837
Monthly,No,Mailed check,32838
Two year,Yes,Bank transfer (automatic),32839
Monthly,No,Electronic check,32840
One Year,Yes,Bank transfer (automatic),32841
Monthly,Yes,Electronic check,32842
Two year,No,Electronic check,32843
Monthly,Yes,Electronic check,32844
